INFO:root:This is an info message.
WARNING:root:This is a warning message.
ERROR:root:This is an error message.
CRITICAL:root:This is a critical message.
INFO:root:This is an informational message.
ERROR:root:Error occurred: division by zero
INFO:root:Program execution completed.
INFO:RotatingLogger:Log message 0
INFO:RotatingLogger:Log message 1
INFO:RotatingLogger:Log message 2
INFO:RotatingLogger:Log message 3
INFO:RotatingLogger:Log message 4
INFO:RotatingLogger:Log message 5
INFO:RotatingLogger:Log message 6
INFO:RotatingLogger:Log message 7
INFO:RotatingLogger:Log message 8
INFO:RotatingLogger:Log message 9
INFO:RotatingLogger:Log message 10
INFO:RotatingLogger:Log message 11
INFO:RotatingLogger:Log message 12
INFO:RotatingLogger:Log message 13
INFO:RotatingLogger:Log message 14
INFO:RotatingLogger:Log message 15
INFO:RotatingLogger:Log message 16
INFO:RotatingLogger:Log message 17
INFO:RotatingLogger:Log message 18
INFO:RotatingLogger:Log message 19
INFO:RotatingLogger:Log message 20
INFO:RotatingLogger:Log message 21
INFO:RotatingLogger:Log message 22
INFO:RotatingLogger:Log message 23
INFO:RotatingLogger:Log message 24
INFO:RotatingLogger:Log message 25
INFO:RotatingLogger:Log message 26
INFO:RotatingLogger:Log message 27
INFO:RotatingLogger:Log message 28
INFO:RotatingLogger:Log message 29
INFO:RotatingLogger:Log message 30
INFO:RotatingLogger:Log message 31
INFO:RotatingLogger:Log message 32
INFO:RotatingLogger:Log message 33
INFO:RotatingLogger:Log message 34
INFO:RotatingLogger:Log message 35
INFO:RotatingLogger:Log message 36
INFO:RotatingLogger:Log message 37
INFO:RotatingLogger:Log message 38
INFO:RotatingLogger:Log message 39
INFO:RotatingLogger:Log message 40
INFO:RotatingLogger:Log message 41
INFO:RotatingLogger:Log message 42
INFO:RotatingLogger:Log message 43
INFO:RotatingLogger:Log message 44
INFO:RotatingLogger:Log message 45
INFO:RotatingLogger:Log message 46
INFO:RotatingLogger:Log message 47
INFO:RotatingLogger:Log message 48
INFO:RotatingLogger:Log message 49
INFO:RotatingLogger:Log message 50
INFO:RotatingLogger:Log message 51
INFO:RotatingLogger:Log message 52
INFO:RotatingLogger:Log message 53
INFO:RotatingLogger:Log message 54
INFO:RotatingLogger:Log message 55
INFO:RotatingLogger:Log message 56
INFO:RotatingLogger:Log message 57
INFO:RotatingLogger:Log message 58
INFO:RotatingLogger:Log message 59
INFO:RotatingLogger:Log message 60
INFO:RotatingLogger:Log message 61
INFO:RotatingLogger:Log message 62
INFO:RotatingLogger:Log message 63
INFO:RotatingLogger:Log message 64
INFO:RotatingLogger:Log message 65
INFO:RotatingLogger:Log message 66
INFO:RotatingLogger:Log message 67
